[['2, k, 0', [-0.1771124, 0.07736035, 1.0]], ['2, k, 1', [-0.1671286, 0.3995754, 1.0]], ['2, k, 2', [-0.1554371, 0.7077508, 1.0]], ['2, k, 3', [-0.1629854, 0.8479918, 1.0]], ['2, k, 4', [-0.3342767, 0.5859808, 1.0]], ['2, k, 5', [-0.3992905, 0.3337906, 1.0]], ['2, k, 6', [-0.3794124, 0.09901603, 1.0]], ['2, k, 7', [-0.3615683, 0.03092598, 1.0]], ['2, k, 8', [0.02144319, 0.6177605, 1.0]], ['2, k, 9', [0.08456162, 0.3426634, 1.0]], ['2, k, 10', [0.1159117, 0.1137812, 1.0]], ['2, k, 11', [0.1369458, 0.07127684, 1.0]], ['2, k, 12', [-0.2533886, 0.07697546, 1.0]], ['2, k, 13', [-0.311402, -0.3792857, 1.0]], ['2, k, 14', [-0.3624165, -0.7126673, 1.0]], ['2, k, 15', [-0.3926987, -0.7556632, 1.0]], ['2, k, 16', [-0.09435885, 0.0748427, 1.0]], ['2, k, 17', [-0.09252954, -0.3537278, 1.0]], ['2, k, 18', [-0.1337031, -0.6984282, 1.0]], ['2, k, 19', [-0.02762423, -0.747693, 1.0]], ['2, k, 20', [-0.15859, 0.6327223, 1.0]], ['2, k, 21', [-0.3701833, -0.03992803, 1.0]], ['2, k, 22', [-0.3306806, 0.007972344, 1.0]], ['2, k, 23', [0.1512323, -0.005729869, 1.0]], ['2, k, 24', [0.150348, 0.08719586, 1.0]]]
[['2, k, 0', [-0.1760503, 0.07713002, 1.0]], ['2, k, 1', [-0.1654555, 0.3992297, 1.0]], ['2, k, 2', [-0.1533746, 0.7073848, 1.0]], ['2, k, 3', [-0.1618875, 0.8477022, 1.0]], ['2, k, 4', [-0.3313875, 0.5852311, 1.0]], ['2, k, 5', [-0.3986188, 0.333684, 1.0]], ['2, k, 6', [-0.379452, 0.1076907, 1.0]], ['2, k, 7', [-0.3715271, 0.04068343, 1.0]], ['2, k, 8', [0.0234778, 0.6173941, 1.0]], ['2, k, 9', [0.0862864, 0.3432999, 1.0]], ['2, k, 10', [0.1163751, 0.1142664, 1.0]], ['2, k, 11', [0.135103, 0.06960493, 1.0]], ['2, k, 12', [-0.252331, 0.07677172, 1.0]], ['2, k, 13', [-0.3107352, -0.3797747, 1.0]], ['2, k, 14', [-0.3625647, -0.712819, 1.0]], ['2, k, 15', [-0.3924732, -0.7559597, 1.0]], ['2, k, 16', [-0.09332404, 0.07460736, 1.0]], ['2, k, 17', [-0.09041259, -0.3527652, 1.0]], ['2, k, 18', [-0.1330418, -0.6977256, 1.0]], ['2, k, 19', [-0.02957786, -0.7484455, 1.0]], ['2, k, 20', [-0.1565987, 0.6323459, 1.0]], ['2, k, 21', [-0.3801794, -0.03860752, 1.0]], ['2, k, 22', [-0.3398192, 0.01584381, 1.0]], ['2, k, 23', [0.1520342, -0.006072141, 1.0]], ['2, k, 24', [0.1675974, 0.07374406, 1.0]]]
[['2, k, 0', [-0.1743741, 0.07703469, 1.0]], ['2, k, 1', [-0.1635614, 0.3988877, 1.0]], ['2, k, 2', [-0.1514977, 0.7068894, 1.0]], ['2, k, 3', [-0.1586353, 0.8473305, 1.0]], ['2, k, 4', [-0.3286454, 0.5856824, 1.0]], ['2, k, 5', [-0.3978377, 0.3352496, 1.0]], ['2, k, 6', [-0.3867846, 0.1137399, 1.0]], ['2, k, 7', [-0.3862578, 0.04870124, 1.0]], ['2, k, 8', [0.02634533, 0.6169178, 1.0]], ['2, k, 9', [0.08855359, 0.3443348, 1.0]], ['2, k, 10', [0.1164736, 0.1150394, 1.0]], ['2, k, 11', [0.1369803, 0.07044808, 1.0]], ['2, k, 12', [-0.2507321, 0.07709742, 1.0]], ['2, k, 13', [-0.3093762, -0.3787088, 1.0]], ['2, k, 14', [-0.3624898, -0.7103199, 1.0]], ['2, k, 15', [-0.3916928, -0.7548641, 1.0]], ['2, k, 16', [-0.09159701, 0.07412468, 1.0]], ['2, k, 17', [-0.0892608, -0.3536822, 1.0]], ['2, k, 18', [-0.135057, -0.7004511, 1.0]], ['2, k, 19', [-0.027922, -0.748351, 1.0]], ['2, k, 20', [-0.1546981, 0.6318753, 1.0]], ['2, k, 21', [-0.3964836, -0.02893578, 1.0]], ['2, k, 22', [-0.3307152, 0.07463681, 1.0]], ['2, k, 23', [0.148717, -0.005846715, 1.0]], ['2, k, 24', [0.1644503, 0.06337707, 1.0]]]
[['2, k, 0', [-0.1725408, 0.07758027, 1.0]], ['2, k, 1', [-0.1612561, 0.3991188, 1.0]], ['2, k, 2', [-0.1487443, 0.7069044, 1.0]], ['2, k, 3', [-0.1550472, 0.8477295, 1.0]], ['2, k, 4', [-0.3248579, 0.5864882, 1.0]], ['2, k, 5', [-0.3975759, 0.3393592, 1.0]], ['2, k, 6', [-0.4034735, 0.1258159, 1.0]], ['2, k, 7', [-0.4019725, 0.06426076, 1.0]], ['2, k, 8', [0.03090522, 0.6173908, 1.0]], ['2, k, 9', [0.09094889, 0.3456992, 1.0]], ['2, k, 10', [0.1164299, 0.1161336, 1.0]], ['2, k, 11', [0.1362582, 0.06704802, 1.0]], ['2, k, 12', [-0.2488248, 0.07809518, 1.0]], ['2, k, 13', [-0.3086874, -0.37822, 1.0]], ['2, k, 14', [-0.3627232, -0.7091724, 1.0]], ['2, k, 15', [-0.3913387, -0.754235, 1.0]], ['2, k, 16', [-0.08992931, 0.0742508, 1.0]], ['2, k, 17', [-0.08883163, -0.3540763, 1.0]], ['2, k, 18', [-0.1349184, -0.7047101, 1.0]], ['2, k, 19', [-0.03139064, -0.7483569, 1.0]], ['2, k, 20', [-0.1520591, 0.6319341, 1.0]], ['2, k, 21', [-0.416766, -0.01943002, 1.0]], ['2, k, 22', [-0.3506187, 0.08615088, 1.0]], ['2, k, 23', [0.1479991, -0.008081957, 1.0]], ['2, k, 24', [0.1691048, 0.06643062, 1.0]]]
[['2, k, 0', [-0.1710824, 0.07829072, 1.0]], ['2, k, 1', [-0.1578658, 0.3997146, 1.0]], ['2, k, 2', [-0.1428167, 0.7072652, 1.0]], ['2, k, 3', [-0.1499014, 0.8479748, 1.0]], ['2, k, 4', [-0.3210832, 0.5882351, 1.0]], ['2, k, 5', [-0.3996186, 0.3534039, 1.0]], ['2, k, 6', [-0.4346249, 0.1555709, 1.0]], ['2, k, 7', [-0.4246519, 0.08428816, 1.0]], ['2, k, 8', [0.03405197, 0.6181909, 1.0]], ['2, k, 9', [0.09412717, 0.3482638, 1.0]], ['2, k, 10', [0.1163547, 0.1184367, 1.0]], ['2, k, 11', [0.134538, 0.06683127, 1.0]], ['2, k, 12', [-0.2472847, 0.07911634, 1.0]], ['2, k, 13', [-0.3078708, -0.3771556, 1.0]], ['2, k, 14', [-0.3628025, -0.7097004, 1.0]], ['2, k, 15', [-0.391728, -0.7548952, 1.0]], ['2, k, 16', [-0.08862266, 0.07466391, 1.0]], ['2, k, 17', [-0.08779153, -0.3522235, 1.0]], ['2, k, 18', [-0.1356489, -0.704228, 1.0]], ['2, k, 19', [-0.02672255, -0.7459288, 1.0]], ['2, k, 20', [-0.1468037, 0.6323593, 1.0]], ['2, k, 21', [-0.43903, 0.005951106, 1.0]], ['2, k, 22', [-0.3769011, 0.1051517, 1.0]], ['2, k, 23', [0.1452494, -0.0002464315, 1.0]], ['2, k, 24', [0.1670445, 0.06397437, 1.0]]]
[['2, k, 0', [-0.1687763, 0.0783462, 1.0]], ['2, k, 1', [-0.1546453, 0.3993292, 1.0]], ['2, k, 2', [-0.13914, 0.7064766, 1.0]], ['2, k, 3', [-0.1437049, 0.8483199, 1.0]], ['2, k, 4', [-0.316956, 0.5886061, 1.0]], ['2, k, 5', [-0.4034189, 0.360106, 1.0]], ['2, k, 6', [-0.4449834, 0.1670423, 1.0]], ['2, k, 7', [-0.458702, 0.0928901, 1.0]], ['2, k, 8', [0.03796995, 0.6185452, 1.0]], ['2, k, 9', [0.09673645, 0.3482381, 1.0]], ['2, k, 10', [0.1168983, 0.1183562, 1.0]], ['2, k, 11', [0.1333641, 0.06727233, 1.0]], ['2, k, 12', [-0.2448933, 0.07902876, 1.0]], ['2, k, 13', [-0.3071061, -0.3766289, 1.0]], ['2, k, 14', [-0.3626043, -0.7097612, 1.0]], ['2, k, 15', [-0.3916487, -0.7550173, 1.0]], ['2, k, 16', [-0.08650951, 0.07484345, 1.0]], ['2, k, 17', [-0.08680502, -0.3519333, 1.0]], ['2, k, 18', [-0.1355924, -0.7032628, 1.0]], ['2, k, 19', [-0.02865551, -0.7458476, 1.0]], ['2, k, 20', [-0.1431906, 0.6316595, 1.0]], ['2, k, 21', [-0.4749426, 0.02323188, 1.0]], ['2, k, 22', [-0.4371943, 0.1435021, 1.0]], ['2, k, 23', [0.1490459, -0.008558398, 1.0]], ['2, k, 24', [0.1694696, 0.06309371, 1.0]]]
[['2, k, 0', [-0.166048, 0.07827373, 1.0]], ['2, k, 1', [-0.1513017, 0.3993762, 1.0]], ['2, k, 2', [-0.135529, 0.7067363, 1.0]], ['2, k, 3', [-0.1384555, 0.8486772, 1.0]], ['2, k, 4', [-0.314631, 0.5883781, 1.0]], ['2, k, 5', [-0.4093925, 0.3671945, 1.0]], ['2, k, 6', [-0.4648387, 0.1831895, 1.0]], ['2, k, 7', [-0.4820471, 0.1202904, 1.0]], ['2, k, 8', [0.04111632, 0.6187705, 1.0]], ['2, k, 9', [0.09890183, 0.3488535, 1.0]], ['2, k, 10', [0.1171725, 0.1179467, 1.0]], ['2, k, 11', [0.1337202, 0.06786595, 1.0]], ['2, k, 12', [-0.2422562, 0.07880046, 1.0]], ['2, k, 13', [-0.3058794, -0.3764229, 1.0]], ['2, k, 14', [-0.3616478, -0.7086576, 1.0]], ['2, k, 15', [-0.3909474, -0.7542463, 1.0]], ['2, k, 16', [-0.08380711, 0.07492553, 1.0]], ['2, k, 17', [-0.0853187, -0.3525102, 1.0]], ['2, k, 18', [-0.1366116, -0.7038565, 1.0]], ['2, k, 19', [-0.02742798, -0.742745, 1.0]], ['2, k, 20', [-0.1396168, 0.6318572, 1.0]], ['2, k, 21', [-0.4944001, 0.05886126, 1.0]], ['2, k, 22', [-0.4647967, 0.1778214, 1.0]], ['2, k, 23', [0.1468351, -0.01052716, 1.0]], ['2, k, 24', [0.1682118, 0.07251249, 1.0]]]
[['2, k, 0', [-0.1616803, 0.0785156, 1.0]], ['2, k, 1', [-0.1479942, 0.3994756, 1.0]], ['2, k, 2', [-0.1332821, 0.7067704, 1.0]], ['2, k, 3', [-0.1331463, 0.8493309, 1.0]], ['2, k, 4', [-0.3124499, 0.5884133, 1.0]], ['2, k, 5', [-0.4152259, 0.3737092, 1.0]], ['2, k, 6', [-0.4742318, 0.2021621, 1.0]], ['2, k, 7', [-0.4951065, 0.1561146, 1.0]], ['2, k, 8', [0.0451877, 0.6186208, 1.0]], ['2, k, 9', [0.1011967, 0.3434332, 1.0]], ['2, k, 10', [0.1176484, 0.1138396, 1.0]], ['2, k, 11', [0.1340651, 0.06914723, 1.0]], ['2, k, 12', [-0.2379053, 0.07917316, 1.0]], ['2, k, 13', [-0.3053979, -0.3755398, 1.0]], ['2, k, 14', [-0.3606593, -0.7062861, 1.0]], ['2, k, 15', [-0.3901994, -0.7527305, 1.0]], ['2, k, 16', [-0.07956178, 0.07501975, 1.0]], ['2, k, 17', [-0.0846943, -0.352873, 1.0]], ['2, k, 18', [-0.13775, -0.7046949, 1.0]], ['2, k, 19', [-0.02817106, -0.7460089, 1.0]], ['2, k, 20', [-0.137115, 0.6319004, 1.0]], ['2, k, 21', [-0.5124092, 0.104442, 1.0]], ['2, k, 22', [-0.4772352, 0.2144652, 1.0]], ['2, k, 23', [0.1485348, -0.006697053, 1.0]], ['2, k, 24', [0.168911, 0.03844747, 1.0]]]
[['2, k, 0', [-0.159556, 0.07877057, 1.0]], ['2, k, 1', [-0.1445017, 0.3997008, 1.0]], ['2, k, 2', [-0.1283853, 0.7069656, 1.0]], ['2, k, 3', [-0.1271236, 0.8503321, 1.0]], ['2, k, 4', [-0.3099158, 0.5894946, 1.0]], ['2, k, 5', [-0.4210865, 0.3842335, 1.0]], ['2, k, 6', [-0.4771634, 0.2313505, 1.0]], ['2, k, 7', [-0.4963074, 0.1929272, 1.0]], ['2, k, 8', [0.0498218, 0.6185056, 1.0]], ['2, k, 9', [0.1027902, 0.344898, 1.0]], ['2, k, 10', [0.1174917, 0.1153239, 1.0]], ['2, k, 11', [0.134146, 0.06986458, 1.0]], ['2, k, 12', [-0.2355254, 0.07972001, 1.0]], ['2, k, 13', [-0.3043188, -0.3751656, 1.0]], ['2, k, 14', [-0.3602011, -0.7061198, 1.0]], ['2, k, 15', [-0.3901115, -0.7527233, 1.0]], ['2, k, 16', [-0.07770658, 0.07499456, 1.0]], ['2, k, 17', [-0.08368497, -0.353753, 1.0]], ['2, k, 18', [-0.137309, -0.7055078, 1.0]], ['2, k, 19', [-0.02734224, -0.7478828, 1.0]], ['2, k, 20', [-0.1325606, 0.6321001, 1.0]], ['2, k, 21', [-0.5156088, 0.1474327, 1.0]], ['2, k, 22', [-0.4796736, 0.2512105, 1.0]], ['2, k, 23', [0.1601489, -0.003683514, 1.0]], ['2, k, 24', [0.1000056, 0.03922829, 1.0]]]
[['2, k, 0', [-0.1556381, 0.078836, 1.0]], ['2, k, 1', [-0.1406982, 0.3999131, 1.0]], ['2, k, 2', [-0.1249556, 0.70735, 1.0]], ['2, k, 3', [-0.1220107, 0.8505662, 1.0]], ['2, k, 4', [-0.3074361, 0.589172, 1.0]], ['2, k, 5', [-0.4438633, 0.4108592, 1.0]], ['2, k, 6', [-0.4703311, 0.2528563, 1.0]], ['2, k, 7', [-0.4884884, 0.2251728, 1.0]], ['2, k, 8', [0.05209931, 0.618454, 1.0]], ['2, k, 9', [0.105692, 0.3483545, 1.0]], ['2, k, 10', [0.116978, 0.1187934, 1.0]], ['2, k, 11', [0.1338648, 0.06996845, 1.0]], ['2, k, 12', [-0.2315679, 0.07968945, 1.0]], ['2, k, 13', [-0.3040073, -0.3750336, 1.0]], ['2, k, 14', [-0.3600188, -0.7059038, 1.0]], ['2, k, 15', [-0.3900014, -0.7528872, 1.0]], ['2, k, 16', [-0.07395145, 0.07514646, 1.0]], ['2, k, 17', [-0.08261478, -0.3546964, 1.0]], ['2, k, 18', [-0.1371588, -0.7058131, 1.0]], ['2, k, 19', [-0.02769452, -0.7473461, 1.0]], ['2, k, 20', [-0.1290175, 0.632439, 1.0]], ['2, k, 21', [-0.5095665, 0.1793363, 1.0]], ['2, k, 22', [-0.4757809, 0.2804153, 1.0]], ['2, k, 23', [0.1480309, 0.006219804, 1.0]], ['2, k, 24', [0.09776618, 0.03308421, 1.0]]]
[['2, k, 0', [-0.1526877, 0.07934924, 1.0]], ['2, k, 1', [-0.1376258, 0.400226, 1.0]], ['2, k, 2', [-0.1218876, 0.7074792, 1.0]], ['2, k, 3', [-0.1162087, 0.8513412, 1.0]], ['2, k, 4', [-0.3044642, 0.5892738, 1.0]], ['2, k, 5', [-0.4432364, 0.4134022, 1.0]], ['2, k, 6', [-0.4615079, 0.2819122, 1.0]], ['2, k, 7', [-0.4758398, 0.2520198, 1.0]], ['2, k, 8', [0.05512443, 0.6186834, 1.0]], ['2, k, 9', [0.1072761, 0.3460046, 1.0]], ['2, k, 10', [0.1173593, 0.1167771, 1.0]], ['2, k, 11', [0.1323955, 0.06928218, 1.0]], ['2, k, 12', [-0.2281065, 0.07982027, 1.0]], ['2, k, 13', [-0.3029841, -0.3746138, 1.0]], ['2, k, 14', [-0.3600697, -0.7077943, 1.0]], ['2, k, 15', [-0.3897211, -0.7523671, 1.0]], ['2, k, 16', [-0.07150327, 0.07601504, 1.0]], ['2, k, 17', [-0.08177434, -0.3552438, 1.0]], ['2, k, 18', [-0.1366048, -0.7086249, 1.0]], ['2, k, 19', [-0.02560061, -0.7474009, 1.0]], ['2, k, 20', [-0.1259352, 0.6326109, 1.0]], ['2, k, 21', [-0.4940568, 0.2035581, 1.0]], ['2, k, 22', [-0.4638329, 0.3091617, 1.0]], ['2, k, 23', [0.1520084, -0.004564926, 1.0]], ['2, k, 24', [0.1646048, 0.04260931, 1.0]]]
